timestamp,src_mac,dst_mac,ethertype,frame_size_bytes
2025-06-22 19:28:57,40:00:40:01:c6:38,45:00:00:54:75:dc,0x0800,118
2025-06-22 19:28:57,40:00:40:01:c6:38,45:00:00:54:75:dc,0x0800,118
2025-06-22 19:28:57,00:00:3f:01:1a:6a,45:00:00:54:62:ab,0x0800,84
2025-06-22 19:28:57,00:00:3f:01:1a:6a,45:00:00:54:62:ab,0x0800,84
2025-06-22 19:28:58,40:00:40:01:c5:d9,45:00:00:54:76:3b,0x0800,118
2025-06-22 19:28:58,40:00:40:01:c5:d9,45:00:00:54:76:3b,0x0800,118
2025-06-22 19:28:58,00:00:3f:01:86:7f,45:00:00:54:f6:95,0x0800,84
2025-06-22 19:28:58,00:00:3f:01:86:7f,45:00:00:54:f6:95,0x0800,84
2025-06-22 19:28:59,40:00:40:01:c5:73,45:00:00:54:76:a1,0x0800,118
2025-06-22 19:28:59,40:00:40:01:c5:73,45:00:00:54:76:a1,0x0800,118
2025-06-22 19:28:59,00:00:3f:01:c7:36,45:00:00:54:b5:de,0x0800,84
2025-06-22 19:28:59,00:00:3f:01:c7:36,45:00:00:54:b5:de,0x0800,84
2025-06-22 19:29:00,40:00:40:01:c5:34,45:00:00:54:76:e0,0x0800,118
2025-06-22 19:29:00,40:00:40:01:c5:34,45:00:00:54:76:e0,0x0800,118
2025-06-22 19:29:00,00:00:3f:01:0b:93,45:00:00:54:71:82,0x0800,84
2025-06-22 19:29:00,00:00:3f:01:0b:93,45:00:00:54:71:82,0x0800,84
2025-06-22 19:29:01,40:00:40:01:c4:dc,45:00:00:54:77:38,0x0800,118
2025-06-22 19:29:01,40:00:40:01:c4:dc,45:00:00:54:77:38,0x0800,118
2025-06-22 19:29:01,00:00:3f:01:f2:8c,45:00:00:54:8a:88,0x0800,84
2025-06-22 19:29:01,00:00:3f:01:f2:8c,45:00:00:54:8a:88,0x0800,84
2025-06-22 19:29:02,40:00:40:01:c4:a0,45:00:00:54:77:74,0x0800,118
2025-06-22 19:29:02,40:00:40:01:c4:a0,45:00:00:54:77:74,0x0800,118
2025-06-22 19:29:02,00:00:3f:01:6f:56,45:00:00:54:0d:bf,0x0800,84
2025-06-22 19:29:02,00:00:3f:01:6f:56,45:00:00:54:0d:bf,0x0800,84
2025-06-22 19:29:03,40:00:40:01:c4:62,45:00:00:54:77:b2,0x0800,118
2025-06-22 19:29:03,40:00:40:01:c4:62,45:00:00:54:77:b2,0x0800,118
2025-06-22 19:29:03,00:00:3f:01:ae:dc,45:00:00:54:ce:38,0x0800,84
2025-06-22 19:29:03,00:00:3f:01:ae:dc,45:00:00:54:ce:38,0x0800,84
2025-06-22 19:29:04,40:00:40:01:c4:1c,45:00:00:54:77:f8,0x0800,118
2025-06-22 19:29:04,40:00:40:01:c4:1c,45:00:00:54:77:f8,0x0800,118
2025-06-22 19:29:05,00:00:3f:01:bd:fb,45:00:00:54:bf:19,0x0800,84
2025-06-22 19:29:05,00:00:3f:01:bd:fb,45:00:00:54:bf:19,0x0800,84
2025-06-22 19:29:05,40:00:40:01:c3:cf,45:00:00:54:78:45,0x0800,118
2025-06-22 19:29:05,40:00:40:01:c3:cf,45:00:00:54:78:45,0x0800,118
2025-06-22 19:29:05,00:00:3f:01:bc:31,45:00:00:54:c0:e3,0x0800,84
2025-06-22 19:29:05,00:00:3f:01:bc:31,45:00:00:54:c0:e3,0x0800,84
2025-06-22 19:29:06,40:00:40:01:c3:8b,45:00:00:54:78:89,0x0800,118
2025-06-22 19:29:06,40:00:40:01:c3:8b,45:00:00:54:78:89,0x0800,118
2025-06-22 19:29:06,00:00:3f:01:6a:ac,45:00:00:54:12:69,0x0800,84
2025-06-22 19:29:06,00:00:3f:01:6a:ac,45:00:00:54:12:69,0x0800,84
2025-06-22 19:29:07,40:00:40:01:c3:40,45:00:00:54:78:d4,0x0800,118
2025-06-22 19:29:07,40:00:40:01:c3:40,45:00:00:54:78:d4,0x0800,118
2025-06-22 19:29:08,00:00:3f:01:e1:a2,45:00:00:54:9b:72,0x0800,84
2025-06-22 19:29:08,00:00:3f:01:e1:a2,45:00:00:54:9b:72,0x0800,84
2025-06-22 19:29:08,40:00:40:01:c3:3a,45:00:00:54:78:da,0x0800,118
2025-06-22 19:29:08,40:00:40:01:c3:3a,45:00:00:54:78:da,0x0800,118
2025-06-22 19:29:09,00:00:3f:01:c7:3e,45:00:00:54:b5:d6,0x0800,84
2025-06-22 19:29:08,00:00:3f:01:c7:3e,45:00:00:54:b5:d6,0x0800,84
2025-06-22 19:29:09,40:00:40:01:c3:1b,45:00:00:54:78:f9,0x0800,118
2025-06-22 19:29:09,40:00:40:01:c3:1b,45:00:00:54:78:f9,0x0800,118
2025-06-22 19:29:09,00:00:3f:01:25:b3,45:00:00:54:57:62,0x0800,84
2025-06-22 19:29:09,00:00:3f:01:25:b3,45:00:00:54:57:62,0x0800,84
2025-06-22 19:29:10,40:00:40:01:c3:08,45:00:00:54:79:0c,0x0800,118
2025-06-22 19:29:10,40:00:40:01:c3:08,45:00:00:54:79:0c,0x0800,118
2025-06-22 19:29:11,00:00:3f:01:20:66,45:00:00:54:5c:af,0x0800,84
2025-06-22 19:29:11,00:00:3f:01:20:66,45:00:00:54:5c:af,0x0800,84
2025-06-22 19:29:12,40:00:40:01:c2:b1,45:00:00:54:79:63,0x0800,118
2025-06-22 19:29:12,40:00:40:01:c2:b1,45:00:00:54:79:63,0x0800,118
2025-06-22 19:29:12,00:00:3f:01:3b:89,45:00:00:54:41:8c,0x0800,84
2025-06-22 19:29:12,00:00:3f:01:3b:89,45:00:00:54:41:8c,0x0800,84
2025-06-22 19:29:13,40:00:40:01:c2:a7,45:00:00:54:79:6d,0x0800,118
2025-06-22 19:29:13,40:00:40:01:c2:a7,45:00:00:54:79:6d,0x0800,118
2025-06-22 19:29:13,00:00:3f:01:3b:46,45:00:00:54:41:cf,0x0800,84
2025-06-22 19:29:13,00:00:3f:01:3b:46,45:00:00:54:41:cf,0x0800,84
2025-06-22 19:29:14,40:00:40:01:c2:84,45:00:00:54:79:90,0x0800,118
2025-06-22 19:29:14,40:00:40:01:c2:84,45:00:00:54:79:90,0x0800,118
2025-06-22 19:29:14,00:00:3f:01:d9:8a,45:00:00:54:a3:8a,0x0800,84
2025-06-22 19:29:14,00:00:3f:01:d9:8a,45:00:00:54:a3:8a,0x0800,84
2025-06-22 19:29:15,40:00:40:01:c2:4e,45:00:00:54:79:c6,0x0800,118
2025-06-22 19:29:15,40:00:40:01:c2:4e,45:00:00:54:79:c6,0x0800,118
2025-06-22 19:29:15,00:00:3f:01:45:ed,45:00:00:54:37:28,0x0800,84
2025-06-22 19:29:15,00:00:3f:01:45:ed,45:00:00:54:37:28,0x0800,84
2025-06-22 19:29:16,40:00:40:01:c2:3f,45:00:00:54:79:d5,0x0800,118
2025-06-22 19:29:16,40:00:40:01:c2:3f,45:00:00:54:79:d5,0x0800,118
2025-06-22 19:29:16,00:00:3f:01:38:49,45:00:00:54:44:cc,0x0800,84
2025-06-22 19:29:16,00:00:3f:01:38:49,45:00:00:54:44:cc,0x0800,84
2025-06-22 19:29:17,40:00:40:01:c1:de,45:00:00:54:7a:36,0x0800,118
2025-06-22 19:29:17,40:00:40:01:c1:de,45:00:00:54:7a:36,0x0800,118
2025-06-22 19:29:17,00:00:3f:01:e0:d4,45:00:00:54:9c:40,0x0800,84
2025-06-22 19:29:17,00:00:3f:01:e0:d4,45:00:00:54:9c:40,0x0800,84
2025-06-22 19:29:18,40:00:40:01:c1:db,45:00:00:54:7a:39,0x0800,118
2025-06-22 19:29:18,40:00:40:01:c1:db,45:00:00:54:7a:39,0x0800,118
2025-06-22 19:29:18,00:00:3f:01:bf:36,45:00:00:54:bd:de,0x0800,84
2025-06-22 19:29:18,00:00:3f:01:bf:36,45:00:00:54:bd:de,0x0800,84
2025-06-22 19:29:19,40:00:40:01:c1:77,45:00:00:54:7a:9d,0x0800,118
2025-06-22 19:29:19,40:00:40:01:c1:77,45:00:00:54:7a:9d,0x0800,118
2025-06-22 19:29:19,00:00:3f:01:98:75,45:00:00:54:e4:9f,0x0800,84
2025-06-22 19:29:19,00:00:3f:01:98:75,45:00:00:54:e4:9f,0x0800,84
2025-06-22 19:29:20,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:29:20,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:29:20,40:00:40:01:c1:4d,45:00:00:54:7a:c7,0x0800,118
2025-06-22 19:29:20,40:00:40:01:c1:4d,45:00:00:54:7a:c7,0x0800,118
2025-06-22 19:29:20,00:00:3f:01:87:36,45:00:00:54:f5:de,0x0800,84
2025-06-22 19:29:20,00:00:3f:01:87:36,45:00:00:54:f5:de,0x0800,84
2025-06-22 19:29:21,40:00:40:01:c1:13,45:00:00:54:7b:01,0x0800,118
2025-06-22 19:29:21,40:00:40:01:c1:13,45:00:00:54:7b:01,0x0800,118
2025-06-22 19:29:21,00:00:3f:01:21:aa,45:00:00:54:5b:6b,0x0800,84
2025-06-22 19:29:21,00:00:3f:01:21:aa,45:00:00:54:5b:6b,0x0800,84
2025-06-22 19:29:22,40:00:40:01:c0:ca,45:00:00:54:7b:4a,0x0800,118
2025-06-22 19:29:22,40:00:40:01:c0:ca,45:00:00:54:7b:4a,0x0800,118
2025-06-22 19:29:22,00:00:3f:01:34:05,45:00:00:54:49:10,0x0800,84
